species,count,last_seen,location,date,seen
Turkey Vulture,1,2022-02-23,Sweetwater Wetlands,2022-02-26,0
Lark Sparrow,1,2022-02-22,Sweetwater Wetlands,2022-02-26,0
Gray Flycatcher,1,2022-02-22,Sweetwater Wetlands,2022-02-26,0
Sharp-shinned Hawk,1,2022-02-22,Sweetwater Wetlands,2022-02-26,0
Snow Goose,1,2022-03-05,Christopher Columbus Park,2022-03-06,1
Great Egret,2,2022-03-05,Christopher Columbus Park,2022-03-06,1
Cliff Swallow,2,2022-03-05,Christopher Columbus Park,2022-03-06,0
Eurasian Collared-Dove,3,2022-03-05,Christopher Columbus Park,2022-03-06,1
Belted Kingfisher,1,2022-03-05,Christopher Columbus Park,2022-03-06,0
Violet-green Swallow,1,2022-03-05,Christopher Columbus Park,2022-03-06,0
Great Blue Heron,2,2022-03-05,Christopher Columbus Park,2022-03-06,0
Brown-headed Cowbird,1,2022-03-05,Christopher Columbus Park,2022-03-06,0
Mexican Duck,1,2022-03-04,Christopher Columbus Park,2022-03-06,1
Blue-gray Gnatcatcher,1,2022-03-04,Christopher Columbus Park,2022-03-06,0
Black-chinned Hummingbird,1,2022-03-04,Christopher Columbus Park,2022-03-06,0
Black-throated Gray Warbler,1,2022-03-03,Christopher Columbus Park,2022-03-06,0
Swamp Sparrow,1,2022-03-03,Christopher Columbus Park,2022-03-06,0
Double-crested Cormorant,NA,2022-03-02,Christopher Columbus Park,2022-03-06,0
Yellow-headed Blackbird,NA,2022-03-02,Christopher Columbus Park,2022-03-06,0
Western Kingbird,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Great Blue Heron,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Black-crowned Night-Heron,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Cliff Swallow,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Turkey Vulture,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Brown-headed Cowbird,5,2022-04-08,Sweetwater Wetlands,2022-04-09,1
Bell’s Vireo,2,2022-04-08,Sweetwater Wetlands,2022-04-09,1
Violet-green Swallow,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Brewer’s Sparrow,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Plumbeous Vireo,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
American Pipit,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Sharp-shinned Hawk,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Yellow-headed Blackbird,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Solitary Sandpiper,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Northern Harrier,1,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Savannah Sparrow,2,2022-04-08,Sweetwater Wetlands,2022-04-09,0
Spotted Sandpiper,1,2022-04-07,Sweetwater Wetlands,2022-04-09,0
Ash-throated Flycatcher,2,2022-04-07,Sweetwater Wetlands,2022-04-09,0
Cassin’s Vireo,1,2022-04-07,Sweetwater Wetlands,2022-04-09,0
Peregrine Falcon,1,2022-04-07,Sweetwater Wetlands,2022-04-09,0
Broad-tailed Hummingbird,1,2022-04-07,Sweetwater Wetlands,2022-04-09,0
Dusky Flycatcher,1,2022-04-07,Sweetwater Wetlands,2022-04-09,0
Hammond’s Flycatcher,1,2022-04-07,Sweetwater Wetlands,2022-04-09,0
Canada Goose,3,2022-04-07,Sweetwater Wetlands,2022-04-09,0
Warbling Vireo,2,2022-04-07,Sweetwater Wetlands,2022-04-09,0
Nashville Warbler,1,2022-04-07,Sweetwater Wetlands,2022-04-09,0
Lark Sparrow,3,2022-04-06,Sweetwater Wetlands,2022-04-09,0
Greater Yellowlegs,1,2022-04-06,Sweetwater Wetlands,2022-04-09,0
Belted Kingfisher,1,2022-04-06,Sweetwater Wetlands,2022-04-09,0
Lark Sparrow,1,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,0
Bullock’s Oriole,2,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,1
Acorn Woodpecker,1,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,0
Great Blue Heron,1,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,1
Dusky-capped Flycatcher,1,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,1
Brown-crested Flycatcher,1,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,0
Summer Tanager,1,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,1
Yellow-breasted Chat,1,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,1
Mexican Duck,2,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,1
Virginia Rail,1,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,0
Solitary Sandpiper,2,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,0
White-faced Ibis,2,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,0
Spotted Sandpiper,1,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,0
Western Sandpiper,1,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,0
Black Vulture,5,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,1
Common Ground Dove,6,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,1
American Avocet,1,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,0
Snowy Egret,1,2022-04-26,Patagonia Lake SP–Birding Trail,2022-04-28,1
Broad-tailed Hummingbird,1,2022-04-25,Patagonia Lake SP–Birding Trail,2022-04-28,0
Northern Beardless-Tyrannulet,1,2022-04-25,Patagonia Lake SP–Birding Trail,2022-04-28,0
Hammond’s Flycatcher,1,2022-04-25,Patagonia Lake SP–Birding Trail,2022-04-28,0
Rufous Hummingbird,1,2022-04-25,Patagonia Lake SP–Birding Trail,2022-04-28,0
Ruddy Ground Dove,1,2022-04-25,Patagonia Lake SP–Birding Trail,2022-04-28,0
Warbling Vireo,2,2022-04-25,Patagonia Lake SP–Birding Trail,2022-04-28,0
MacGillivray’s Warbler,1,2022-04-25,Patagonia Lake SP–Birding Trail,2022-04-28,0
Zone-tailed Hawk,1,2022-04-25,Patagonia Lake SP–Birding Trail,2022-04-28,0
Hermit Thrush,1,2022-04-25,Patagonia Lake SP–Birding Trail,2022-04-28,0
Violet-green Swallow,1,2022-04-25,Patagonia Lake SP–Birding Trail,2022-04-28,0
Eared Grebe,1,2022-04-25,Patagonia Lake SP–Birding Trail,2022-04-28,0
Belted Kingfisher,1,2022-04-25,Patagonia Lake SP–Birding Trail,2022-04-28,0
Cliff Swallow,8,2022-04-24,Patagonia Lake SP–Birding Trail,2022-04-28,0
Spotted Towhee,1,2022-04-24,Patagonia Lake SP–Birding Trail,2022-04-28,0
White-throated Swift,3,2022-04-24,Patagonia Lake SP–Birding Trail,2022-04-28,0
Common Black Hawk,1,2022-04-24,Patagonia Lake SP–Birding Trail,2022-04-28,0
Swainson’s Thrush,1,2022-04-24,Patagonia Lake SP–Birding Trail,2022-04-28,0
Bullock’s Oriole,2,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Acorn Woodpecker,1,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Broad-tailed Hummingbird,1,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Dusky-capped Flycatcher,2,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Brown-crested Flycatcher,1,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Summer Tanager,1,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,1
Yellow-breasted Chat,1,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,1
Black Vulture,1,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Rufous Hummingbird,1,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Pine Siskin,2,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,1
Common Ground Dove,3,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,1
Red-naped Sapsucker,1,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Ruddy Ground Dove,1,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,1
Zone-tailed Hawk,1,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,1
Cedar Waxwing,1,2022-04-26,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,1
Lark Sparrow,5,2022-04-25,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Mexican Duck,1,2022-04-25,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Spotted Towhee,1,2022-04-25,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Western Kingbird,1,2022-04-25,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Indigo Bunting,1,2022-04-25,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Blue-gray Gnatcatcher,2,2022-04-24,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Arizona Woodpecker,1,2022-04-24,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Northern Beardless-Tyrannulet,1,2022-04-24,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
MacGillivray’s Warbler,1,2022-04-24,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
White-throated Swift,2,2022-04-24,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Black-chinned Sparrow,1,2022-04-24,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Violet-green Swallow,1,2022-04-24,Paton Center for Hummingbirds (Patons’ Yard),2022-04-28,0
Violet-green Swallow,2,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
Pygmy Nuthatch,1,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
American Robin,NA,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,1
Yellow-eyed Junco,NA,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,1
Spotted Towhee,NA,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,1
Red-faced Warbler,NA,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,1
Hermit Thrush,2,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
Mountain Chickadee,2,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,1
Steller’s Jay,NA,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,1
Brown Creeper,1,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
Grace’s Warbler,1,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
White-throated Swift,1,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
Hutton’s Vireo,NA,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
Olive Warbler,1,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
Red-naped Sapsucker,1,2022-04-29,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
House Wren,2,2022-04-28,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
Painted Redstart,1,2022-04-28,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
Hammond’s Flycatcher,1,2022-04-28,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
Red-breasted Nuthatch,1,2022-04-26,Mt. Lemmon–Incinerator Ridge,2022-04-30,0
Virginia’s Warbler,1,2022-04-26,Mt. Lemmon–Incinerator Ridge,2022-04-30,1
White-throated Swift,4,2022-06-17,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,0
Broad-tailed Hummingbird,3,2022-06-17,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,1
Hairy Woodpecker,1,2022-06-17,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,0
Cordilleran Flycatcher,2,2022-06-17,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,1
Hutton’s Vireo,1,2022-06-17,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,0
Violet-green Swallow,7,2022-06-17,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,0
Pygmy Nuthatch,3,2022-06-17,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,0
Brown Creeper,2,2022-06-17,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,0
House Wren,4,2022-06-17,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,0
Western Bluebird,3,2022-06-17,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,0
Grace’s Warbler,2,2022-06-17,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,1
Pine Flycatcher,1,2022-06-17,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,1
Olive Warbler,2,2022-06-16,"stakeout Pine Flycatcher, Rose Canyon, Bear Flats (2022)",2022-06-18,0
Broad-tailed Hummingbird,2,2022-06-16,Mt. Lemmon–Rose Canyon and Lake,2022-06-18,1
Hairy Woodpecker,2,2022-06-16,Mt. Lemmon–Rose Canyon and Lake,2022-06-18,0
Cordilleran Flycatcher,3,2022-06-16,Mt. Lemmon–Rose Canyon and Lake,2022-06-18,1
Hutton’s Vireo,1,2022-06-16,Mt. Lemmon–Rose Canyon and Lake,2022-06-18,0
Violet-green Swallow,3,2022-06-16,Mt. Lemmon–Rose Canyon and Lake,2022-06-18,0
Pygmy Nuthatch,3,2022-06-16,Mt. Lemmon–Rose Canyon and Lake,2022-06-18,1
House Wren,3,2022-06-16,Mt. Lemmon–Rose Canyon and Lake,2022-06-18,1
Western Bluebird,2,2022-06-16,Mt. Lemmon–Rose Canyon and Lake,2022-06-18,1
Grace’s Warbler,2,2022-06-16,Mt. Lemmon–Rose Canyon and Lake,2022-06-18,0
Blue-gray Gnatcatcher,1,2022-06-16,Mt. Lemmon–Rose Canyon and Lake,2022-06-18,0
Greater Pewee,1,2022-06-16,Mt. Lemmon–Rose Canyon and Lake,2022-06-18,0
Hutton’s Vireo,1,2022-07-02,Madera Canyon–Santa Rita Lodge,2022-07-03,0
Mexican Whip-poor-will,3,2022-07-01,Madera Canyon–Santa Rita Lodge,2022-07-03,0
Berylline Hummingbird,1,2022-07-01,Madera Canyon–Santa Rita Lodge,2022-07-03,0
Arizona Woodpecker,1,2022-06-30,Madera Canyon–Santa Rita Lodge,2022-07-03,0
Band-tailed Pigeon,2,2022-06-30,Madera Canyon–Santa Rita Lodge,2022-07-03,0
Elf Owl,1,2022-06-30,Madera Canyon–Santa Rita Lodge,2022-07-03,0
Montezuma Quail,2,2022-06-30,Madera Canyon–Santa Rita Lodge,2022-07-03,0
Western Kingbird,2,2022-07-02,El Rio Open Space Preserve,2022-07-04,0
Purple Martin,1,2022-07-02,El Rio Open Space Preserve,2022-07-04,0
Black-necked Stilt,1,2022-07-02,El Rio Open Space Preserve,2022-07-04,0
Gilded Flicker,1,2022-07-02,El Rio Open Space Preserve,2022-07-04,0
Black-crowned Night-Heron,1,2022-07-01,El Rio Open Space Preserve,2022-07-04,0
White-throated Swift,2,2022-07-01,El Rio Open Space Preserve,2022-07-04,0
Canyon Wren,1,2022-06-30,El Rio Open Space Preserve,2022-07-04,0
Rock Wren,1,2022-06-30,El Rio Open Space Preserve,2022-07-04,0
White-faced Ibis,7,2022-06-29,El Rio Open Space Preserve,2022-07-04,0
Purple Martin,3,2022-08-27,Sweetwater Wetlands,2022-08-28,0
Solitary Sandpiper,2,2022-08-27,Sweetwater Wetlands,2022-08-28,0
White-faced Ibis,12,2022-08-27,Sweetwater Wetlands,2022-08-28,0
Belted Kingfisher,1,2022-08-27,Sweetwater Wetlands,2022-08-28,0
Blue-gray Gnatcatcher,1,2022-08-27,Sweetwater Wetlands,2022-08-28,0
Western Kingbird,1,2022-08-26,Sweetwater Wetlands,2022-08-28,1
White-throated Swift,2,2022-08-26,Sweetwater Wetlands,2022-08-28,0
Lark Sparrow,4,2022-08-25,Sweetwater Wetlands,2022-08-28,0
MacGillivray’s Warbler,1,2022-08-25,Sweetwater Wetlands,2022-08-28,0
Willow Flycatcher,1,2022-08-24,Sweetwater Wetlands,2022-08-28,0
Willow Flycatcher,1,2022-09-03,Whitewater Draw WA,2022-09-04,0
Wilson’s Phalarope,25,2022-09-03,Whitewater Draw WA,2022-09-04,1
Solitary Sandpiper,5,2022-09-03,Whitewater Draw WA,2022-09-04,0
Black-crowned Night-Heron,1,2022-09-03,Whitewater Draw WA,2022-09-04,0
White-faced Ibis,1,2022-09-03,Whitewater Draw WA,2022-09-04,0
Northern Harrier,1,2022-09-03,Whitewater Draw WA,2022-09-04,0
Western Screech-Owl,1,2022-09-03,Whitewater Draw WA,2022-09-04,0
Bank Swallow,5,2022-09-03,Whitewater Draw WA,2022-09-04,0
Lark Bunting,1,2022-09-03,Whitewater Draw WA,2022-09-04,0
Indigo Bunting,1,2022-09-03,Whitewater Draw WA,2022-09-04,0
Cassin’s Sparrow,1,2022-09-02,Whitewater Draw WA,2022-09-04,0
Lark Sparrow,2,2022-09-02,Whitewater Draw WA,2022-09-04,0
Eared Grebe,2,2022-09-02,Whitewater Draw WA,2022-09-04,0
Black-necked Stilt,2,2022-09-02,Whitewater Draw WA,2022-09-04,0
Long-billed Curlew,2,2022-09-02,Whitewater Draw WA,2022-09-04,0
Western Sandpiper,6,2022-09-02,Whitewater Draw WA,2022-09-04,0
Greater Yellowlegs,2,2022-09-02,Whitewater Draw WA,2022-09-04,0
Peregrine Falcon,1,2022-09-02,Whitewater Draw WA,2022-09-04,0
Eastern Meadowlark,1,2022-09-02,Whitewater Draw WA,2022-09-04,0
Dickcissel,1,2022-09-02,Whitewater Draw WA,2022-09-04,0
Western Grebe,1,2022-09-02,Whitewater Draw WA,2022-09-04,0
Baird’s Sandpiper,12,2022-09-02,Whitewater Draw WA,2022-09-04,0
Long-billed Dowitcher,1,2022-09-02,Whitewater Draw WA,2022-09-04,0
Lesser Yellowlegs,1,2022-09-02,Whitewater Draw WA,2022-09-04,0
Black Tern,11,2022-09-02,Whitewater Draw WA,2022-09-04,1
Cattle Egret,1,2022-09-02,Whitewater Draw WA,2022-09-04,0
Belted Kingfisher,1,2022-09-02,Whitewater Draw WA,2022-09-04,0
Chihuahuan Raven,12,2022-09-02,Whitewater Draw WA,2022-09-04,0
Brewer’s Sparrow,1,2022-09-02,Whitewater Draw WA,2022-09-04,0
Scaled Quail,8,2022-09-01,Whitewater Draw WA,2022-09-04,0
Savannah Sparrow,2,2022-09-01,Whitewater Draw WA,2022-09-04,0
Northern Harrier,1,2022-11-11,Sweetwater Wetlands,2022-11-13,0
Belted Kingfisher,1,2022-11-11,Sweetwater Wetlands,2022-11-13,0
Virginia Rail,1,2022-11-11,Sweetwater Wetlands,2022-11-13,0
Northern Parula,1,2022-11-11,Sweetwater Wetlands,2022-11-13,0
Peregrine Falcon,1,2022-11-10,Sweetwater Wetlands,2022-11-13,0
Black-crowned Night-Heron,1,2022-11-09,Sweetwater Wetlands,2022-11-13,0
Belted Kingfisher,1,2022-11-22,Christopher Columbus Park,2022-11-24,0
Black-crowned Night-Heron,1,2022-11-22,Christopher Columbus Park,2022-11-24,0
Blue-gray Gnatcatcher,1,2022-11-22,Christopher Columbus Park,2022-11-24,0
Red Crossbill,3,2022-11-22,Christopher Columbus Park,2022-11-24,0
Ring-billed Gull,3,2022-11-22,Christopher Columbus Park,2022-11-24,1
Bufflehead,5,2022-11-21,Christopher Columbus Park,2022-11-24,0
Lark Sparrow,2,2022-11-21,Christopher Columbus Park,2022-11-24,0
Bufflehead,2,2022-12-07,Patagonia Lake SP–Birding Trail,2022-12-08,1
Hammond’s Flycatcher,1,2022-12-05,Patagonia Lake SP–Birding Trail,2022-12-08,0
Hutton’s Vireo,3,2022-12-05,Patagonia Lake SP–Birding Trail,2022-12-08,0
Belted Kingfisher,1,2022-12-05,Patagonia Lake SP–Birding Trail,2022-12-08,0
Virginia Rail,1,2022-12-05,Patagonia Lake SP–Birding Trail,2022-12-08,0
Merlin,1,2022-12-03,Patagonia Lake SP–Birding Trail,2022-12-08,0
White-throated Sparrow,1,2022-12-03,Patagonia Lake SP–Birding Trail,2022-12-08,0
Black-crowned Night-Heron,1,2022-12-03,Patagonia Lake SP–Birding Trail,2022-12-08,0
Greater Scaup,1,2022-12-03,Patagonia Lake SP–Birding Trail,2022-12-08,0
Swamp Sparrow,1,2022-12-03,Patagonia Lake SP–Birding Trail,2022-12-08,0
Western Screech-Owl,1,2022-12-03,Patagonia Lake SP–Birding Trail,2022-12-08,0
Northern Harrier,3,2022-12-08,Las Cienegas NCA–Davis Pasture,2022-12-09,1
Chihuahuan Meadowlark,2,2022-12-08,Las Cienegas NCA–Davis Pasture,2022-12-09,0
Chihuahuan Raven,2,2022-12-05,Las Cienegas NCA–Davis Pasture,2022-12-09,0
Barn Owl,1,2022-12-05,Las Cienegas NCA–Davis Pasture,2022-12-09,0
Western Screech-Owl,1,2022-12-05,Las Cienegas NCA–Davis Pasture,2022-12-09,0
Grasshopper Sparrow,1,2022-12-05,Las Cienegas NCA–Davis Pasture,2022-12-09,0
Baird’s Sparrow,1,2022-12-03,Las Cienegas NCA–Davis Pasture,2022-12-09,0
Prairie Falcon,1,2022-12-02,Las Cienegas NCA–Davis Pasture,2022-12-09,0
White-throated Sparrow,1,2022-12-08,Paton Center for Hummingbirds (Patons’ Yard),2022-12-09,1
Yellow-bellied Sapsucker,1,2022-12-08,Paton Center for Hummingbirds (Patons’ Yard),2022-12-09,0
Williamson’s Sapsucker,1,2022-12-06,Paton Center for Hummingbirds (Patons’ Yard),2022-12-09,0
Chihuahuan Raven,2,2022-12-05,Paton Center for Hummingbirds (Patons’ Yard),2022-12-09,0
Hutton’s Vireo,1,2022-12-05,Paton Center for Hummingbirds (Patons’ Yard),2022-12-09,0
Lark Sparrow,2,2022-12-05,Paton Center for Hummingbirds (Patons’ Yard),2022-12-09,0
Northern Harrier,1,2022-12-02,Paton Center for Hummingbirds (Patons’ Yard),2022-12-09,0
Montezuma Quail,1,2022-12-01,Paton Center for Hummingbirds (Patons’ Yard),2022-12-09,0
Hammond’s Flycatcher,1,2022-11-29,Paton Center for Hummingbirds (Patons’ Yard),2022-12-09,0
Williamson’s Sapsucker,1,2022-12-09,Paton Center for Hummingbirds (Patons’ Yard),2022-12-10,0
Yellow-bellied Sapsucker,1,2022-12-09,Paton Center for Hummingbirds (Patons’ Yard),2022-12-10,0
Merlin,1,2022-12-09,Paton Center for Hummingbirds (Patons’ Yard),2022-12-10,0
Chihuahuan Raven,2,2022-12-05,Paton Center for Hummingbirds (Patons’ Yard),2022-12-10,0
Hutton’s Vireo,1,2022-12-05,Paton Center for Hummingbirds (Patons’ Yard),2022-12-10,0
Montezuma Quail,1,2022-12-01,Paton Center for Hummingbirds (Patons’ Yard),2022-12-10,0
Black-crowned Night-Heron,2,2022-12-17,Amado WTP,2022-12-18,1
Greater Scaup,1,2022-12-17,Amado WTP,2022-12-18,0
Belted Kingfisher,1,2022-12-17,Amado WTP,2022-12-18,1
Black-bellied Whistling-Duck,1,2022-12-16,Amado WTP,2022-12-18,0
Arizona Woodpecker,1,2022-12-17,Madera Canyon–Santa Rita Lodge,2022-12-18,1
Williamson’s Sapsucker,1,2022-12-16,Madera Canyon–Santa Rita Lodge,2022-12-18,0
Hutton’s Vireo,1,2022-12-16,Madera Canyon–Santa Rita Lodge,2022-12-18,0
Hammond’s Flycatcher,1,2022-12-15,Madera Canyon–Santa Rita Lodge,2022-12-18,0
Olive Warbler,2,2022-12-14,Madera Canyon–Santa Rita Lodge,2022-12-18,1
Prairie Falcon,1,2022-12-25,Sabino Canyon Recreation Area,2022-12-26,0
Blue-gray Gnatcatcher,2,2022-12-24,Sabino Canyon Recreation Area,2022-12-26,1
Sage Thrasher,1,2022-12-24,Sabino Canyon Recreation Area,2022-12-26,0
Black-chinned Sparrow,3,2022-12-24,Sabino Canyon Recreation Area,2022-12-26,0
Gilded Flicker,2,2022-12-23,Sabino Canyon Recreation Area,2022-12-26,0
Hutton’s Vireo,1,2022-12-23,Sabino Canyon Recreation Area,2022-12-26,0
Red Crossbill,9,2022-12-26,Reid Park,2022-12-27,1
Merlin,1,2022-12-25,Reid Park,2022-12-27,0
Peregrine Falcon,1,2022-12-25,Reid Park,2022-12-27,0
Greater Pewee,1,2022-12-25,Reid Park,2022-12-27,0
Swan Goose,1,2022-12-24,Reid Park,2022-12-27,0
Black-throated Sparrow,1,2023-01-02,Whitewater Draw WA,2022-01-05,0
Bonaparte’s Gull,1,2023-01-02,Whitewater Draw WA,2022-01-05,0
Common Ground Dove,1,2023-01-02,Whitewater Draw WA,2022-01-05,0
American Kestrel,3,2023-01-03,Whitewater Draw WA,2022-01-05,1
Bald Eagle,1,2023-01-03,Whitewater Draw WA,2022-01-05,0
Barn Owl,1,2023-01-03,Whitewater Draw WA,2022-01-05,1
Chihuahuan Meadowlark,2,2023-01-03,Whitewater Draw WA,2022-01-05,0
Crissal Thrasher,1,2023-01-03,Whitewater Draw WA,2022-01-05,0
Eurasian Collared-Dove,1,2023-01-03,Whitewater Draw WA,2022-01-05,0
Ferruginous Hawk,2,2023-01-03,Whitewater Draw WA,2022-01-05,0
Great Horned Owl,1,2023-01-03,Whitewater Draw WA,2022-01-05,1
Greater Roadrunner,1,2023-01-03,Whitewater Draw WA,2022-01-05,1
Greater Yellowlegs,1,2023-01-03,Whitewater Draw WA,2022-01-05,0
Lark Bunting,1,2023-01-03,Whitewater Draw WA,2022-01-05,0
Lesser Scaup,1,2023-01-03,Whitewater Draw WA,2022-01-05,0
Lincoln’s Sparrow,2,2023-01-03,Whitewater Draw WA,2022-01-05,0
Long-billed Dowitcher,1,2023-01-03,Whitewater Draw WA,2022-01-05,0
Merlin,1,2023-01-03,Whitewater Draw WA,2022-01-05,0
Mexican Duck,4,2023-01-03,Whitewater Draw WA,2022-01-05,0
Northern Flicker,1,2023-01-03,Whitewater Draw WA,2022-01-05,0
Pyrrhuloxia,6,2023-01-03,Whitewater Draw WA,2022-01-05,0
Red-winged Blackbird,1,2023-01-03,Whitewater Draw WA,2022-01-05,0
Rufous-crowned Sparrow,1,2023-01-03,Whitewater Draw WA,2022-01-05,0
Sharp-shinned Hawk,1,2023-01-03,Whitewater Draw WA,2022-01-05,0
Turkey Vulture,3,2023-01-03,Whitewater Draw WA,2022-01-05,1
Western Meadowlark,14,2023-01-03,Whitewater Draw WA,2022-01-05,0
Western Sandpiper,2,2023-01-03,Whitewater Draw WA,2022-01-05,0
American Coot,100,2023-01-04,Whitewater Draw WA,2022-01-05,1
American Pipit,1,2023-01-04,Whitewater Draw WA,2022-01-05,1
American Wigeon,40,2023-01-04,Whitewater Draw WA,2022-01-05,0
Black Phoebe,7,2023-01-04,Whitewater Draw WA,2022-01-05,1
Brewer’s Sparrow,5,2023-01-04,Whitewater Draw WA,2022-01-05,1
Canvasback,2,2023-01-04,Whitewater Draw WA,2022-01-05,0
Chihuahuan Raven,8,2023-01-04,Whitewater Draw WA,2022-01-05,0
Chipping Sparrow,10,2023-01-04,Whitewater Draw WA,2022-01-05,0
Cinnamon Teal,8,2023-01-04,Whitewater Draw WA,2022-01-05,1
Common Yellowthroat,3,2023-01-04,Whitewater Draw WA,2022-01-05,1
